im_idx: 63, iters: 1, loss: -1.07, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 64, iters: 1, loss: -1.58, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 65, iters: 1, loss: -2.26, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 66, iters: 1, loss: -0.66, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 67, iters: 1, loss: -1.16, w: [0.10500000000000001, 0.10500000000000001, 0.095, 0.095, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 68, iters: 1, loss: 4.81, w: [0.095, 0.10500000000000001, 0.10500000000000001, 0.11500000000000002, 0.10500000000000001, 0.11000000000000001, 0.11000000000000001, 0.1, 0.09, 0.1]
im_idx: 69, iters: 1, loss: -0.49, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 70, iters: 1, loss: -3.43, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 71, iters: 1, loss: -1.52, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 72, iters: 1, loss: -1.22, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 73, iters: 1, loss: -3.69, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 74, iters: 1, loss: 3.58, w: [0.095, 0.095, 0.095, 0.095, 0.10500000000000001, 0.1, 0.11000000000000001, 0.09, 0.09, 0.1]
im_idx: 75, iters: 1, loss: -0.80, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 76, iters: 1, loss: 7.02, w: [0.095, 0.08499999999999999, 0.11500000000000002, 0.095, 0.095, 0.1, 0.1, 0.11000000000000001, 0.11000000000000001, 0.1]
im_idx: 77, iters: 1, loss: -1.48, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 78, iters: 1, loss: -0.79, w: [0.095, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 79, iters: 1, loss: -3.08, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 80, iters: 1, loss: -0.81, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 81, iters: 1, loss: -1.72, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 82, iters: 1, loss: -7.56, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 83, iters: 1, loss: -4.31, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 84, iters: 1, loss: -0.19, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 85, iters: 1, loss: -3.39, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 86, iters: 1, loss: -1.93, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 87, iters: 1, loss: -1.00, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 88, iters: 1, loss: -0.21, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 89, iters: 1, loss: -1.53, w: [0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 90, iters: 1, loss: -2.64, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 91, iters: 1, loss: -0.77, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 92, iters: 1, loss: -1.16, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 93, iters: 1, loss: -0.17, w: [0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 94, iters: 1, loss: -0.51, w: [0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1]
im_idx: 95, iters: 1, loss: -2.72, w: [0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 96, iters: 1, loss: -4.31, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 97, iters: 1, loss: -0.74, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 98, iters: 1, loss: -2.98, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 99, iters: 1, loss: -0.14, w: [0.11500000000000002, 0.11500000000000002, 0.09, 0.1, 0.1, 0.1, 0.11000000000000001, 0.09, 0.1, 0.11000000000000001]
